Day,Keypresses
2023-02-17,48623
2023-02-18,18844
2023-02-19,1857
2023-02-20,1924
2023-02-21,36019
2023-02-22,37831
2023-02-23,49099
2023-02-24,33485
2023-02-25,10415
2023-02-27,25999
2023-02-28,20462
2023-03-01,35150
2023-03-02,44454
2023-03-03,1439
2023-03-05,16676
2023-03-06,39556
2023-03-07,29059
2023-03-08,34333
2023-03-09,18506
2023-03-10,32405
2023-03-11,16197
2023-03-12,20489
2023-03-13,44775
2023-03-14,34785
2023-03-15,32245
2023-03-16,28142
2023-03-17,16634
2023-03-18,33875
2023-03-19,13720
2023-03-20,37327
2023-03-21,50526
2023-03-22,43528
2023-03-23,45621
2023-03-24,31307
2023-03-25,31224
2023-03-26,322
2023-03-27,52015
2023-03-28,23441
2023-03-29,34092
2023-03-30,18668
2023-03-31,32275
2023-04-01,20959
2023-04-02,6847
2023-04-03,20465
2023-04-04,36835
2023-04-05,26237
2023-04-06,20017
2023-04-07,14192
2023-04-08,21492
2023-04-09,19880
2023-04-10,56877
2023-04-11,24834
2023-04-12,30432
2023-04-13,19055
2023-04-15,10
2023-04-20,31
2023-04-22,1891
2023-04-23,587
2023-04-24,117
2023-04-25,2808
2023-04-26,333
2023-04-27,398
2023-04-28,2563
2023-04-29,86
2023-04-30,728
2023-05-01,19015
2023-05-02,34457
2023-05-03,18004
2023-05-04,37630
2023-05-05,18761
2023-05-06,169
2023-05-07,560
2023-05-08,19163
2023-05-09,8680
2023-05-10,11651
2023-05-11,21576
2023-05-12,22426
2023-05-13,8567
2023-05-14,0
2023-05-15,21071
2023-05-16,33128
2023-05-17,36202
2023-05-18,31715
2023-05-19,32481
2023-05-20,17741
2023-05-21,9439
2023-05-22,28640
2023-05-23,34138
2023-05-24,16854
2023-05-25,41420
2023-05-26,25947
2023-05-27,16401
2023-05-29,1259
2023-05-30,33991
2023-05-31,64683
2023-06-01,29651
2023-06-02,35650
2023-06-03,7364
2023-06-04,29370
2023-06-05,26859
2023-06-06,28010
2023-06-07,29368
2023-06-08,26378
2023-06-09,1999
2023-06-11,14647
2023-06-12,31281
2023-06-13,23745
2023-06-14,50339
2023-06-15,45835
2023-06-16,40815
2023-06-17,23495
