,Day,Hour,Keypresses,keypresses_over_last_24_hours
347,2020-10-05,11,2907,35776.0
348,2020-10-05,12,259,36035.0
349,2020-10-05,13,4108,40143.0
350,2020-10-05,14,6418,46561.0
351,2020-10-05,15,1547,47310.0
352,2020-10-05,16,6826,51870.0
353,2020-10-05,17,6420,55670.0
354,2020-10-05,18,3635,55739.0
355,2020-10-05,19,2151,54086.0
356,2020-10-05,20,2781,56152.0
357,2020-10-05,21,0,52837.0
358,2020-10-05,22,523,48107.0
359,2020-10-05,23,1665,46862.0
360,2020-10-06,0,0,46862.0
361,2020-10-06,1,0,46862.0
362,2020-10-06,2,0,46862.0
363,2020-10-06,3,0,46862.0
364,2020-10-06,4,0,46862.0
365,2020-10-06,5,0,46862.0
366,2020-10-06,6,0,46862.0
367,2020-10-06,7,0,46862.0
368,2020-10-06,8,0,46366.0
369,2020-10-06,9,39,41679.0
370,2020-10-06,10,2190,41469.0
371,2020-10-06,11,7104,45666.0
372,2020-10-06,12,4497,49904.0
373,2020-10-06,13,47,45843.0
374,2020-10-06,14,4354,43779.0
375,2020-10-06,15,4701,46933.0
376,2020-10-06,16,4582,44689.0
377,2020-10-06,17,1050,39319.0
378,2020-10-06,18,2520,38204.0
379,2020-10-06,19,1999,38052.0
380,2020-10-06,20,2185,37456.0
381,2020-10-06,21,1298,38754.0
382,2020-10-06,22,2658,40889.0
383,2020-10-06,23,3901,43125.0
384,2020-10-07,0,2849,45974.0
385,2020-10-07,1,3013,48987.0
386,2020-10-07,2,0,48987.0
387,2020-10-07,3,0,48987.0
388,2020-10-07,4,0,48987.0
389,2020-10-07,5,0,48987.0
390,2020-10-07,6,0,48987.0
391,2020-10-07,7,0,48987.0
392,2020-10-07,8,0,48987.0
393,2020-10-07,9,0,48948.0
394,2020-10-07,10,7,46765.0
395,2020-10-07,11,2756,42417.0
396,2020-10-07,12,2864,40784.0
397,2020-10-07,13,549,41286.0
398,2020-10-07,14,4228,41160.0
399,2020-10-07,15,2668,39127.0
400,2020-10-07,16,4012,38557.0
401,2020-10-07,17,1220,38727.0
402,2020-10-07,18,629,36836.0
