Date,steps,7_day_avg,30_day_avg,365_day_avg
2020-07-31,3339,5090.142857142857,5525.7,
2020-08-01,8208,5252.857142857143,5607.033333333334,
2020-08-02,2149,5091.857142857143,5631.6,
2020-08-03,8076,5335.857142857143,5776.866666666667,
2020-08-04,16545,6726.0,6233.966666666666,
2020-08-05,6923,6843.285714285715,6051.633333333333,
2020-08-06,8630,7695.714285714285,5915.133333333333,
2020-08-07,10158,8669.857142857143,6055.3,
2020-08-08,7297,8539.714285714286,6014.233333333334,
2020-08-09,3118,8678.142857142857,5895.7,
2020-08-10,7644,8616.42857142857,5866.8,
2020-08-11,4900,6952.857142857143,5812.733333333334,
2020-08-12,1762,6215.571428571428,5632.066666666667,
2020-08-13,958,5119.571428571428,5469.333333333333,
2020-08-14,1730,3915.5714285714284,5363.8,
2020-08-15,1721,3119.0,5211.4,
2020-08-16,1814,2932.714285714286,5166.266666666666,
2020-08-17,1752,2091.0,5155.733333333334,
2020-08-18,1921,1665.4285714285713,5156.833333333333,
2020-08-19,3805,1957.2857142857142,5187.033333333334,
2020-08-20,3069,2258.8571428571427,5059.566666666667,
2020-08-21,1895,2282.4285714285716,4891.066666666667,
2020-08-22,8632,3269.714285714286,5049.3,
2020-08-23,11563,4662.428571428572,5330.033333333334,
2020-08-24,8167,5578.857142857143,5366.633333333333,
2020-08-25,9347,6639.714285714285,5569.0,
2020-08-26,10511,7597.714285714285,5707.1,
2020-08-27,8001,8302.285714285714,5746.666666666667,
2020-08-28,3924,8592.142857142857,5674.066666666667,
2020-08-29,5414,8132.428571428572,5765.766666666666,
2020-08-30,8464,7689.714285714285,5936.6,
2020-08-31,9675,7905.142857142857,5985.5,
2020-09-01,7292,7611.571428571428,6156.933333333333,
2020-09-02,8309,7297.0,6164.7,
2020-09-03,9574,7521.714285714285,5932.333333333333,
2020-09-04,7278,8000.857142857143,5944.166666666667,
2020-09-05,5870,8066.0,5852.166666666667,
2020-09-06,5143,7591.571428571428,5685.0,
2020-09-07,7202,7238.285714285715,5681.833333333333,
2020-09-08,3098,6639.142857142857,5681.166666666667,
2020-09-09,5572,6248.142857142857,5612.1,
2020-09-10,4439,5514.571428571428,5596.733333333334,
2020-09-11,7723,5578.142857142857,5795.433333333333,
2020-09-12,3025,5171.714285714285,5864.333333333333,
2020-09-13,9487,5792.285714285715,6122.9,
2020-09-14,8402,5963.714285714285,6345.6,
2020-09-15,3580,6032.571428571428,6404.466666666666,
2020-09-16,4356,5858.857142857143,6491.266666666666,
2020-09-17,2883,5636.571428571428,6523.333333333333,
2020-09-18,6585,5474.0,6616.0,
2020-09-19,8584,6268.142857142857,6799.833333333333,
2020-09-20,8329,6102.714285714285,7014.3,
2020-09-21,10044,6337.285714285715,7061.366666666667,
2020-09-22,1788,6081.285714285715,6735.533333333334,
2020-09-23,7810,6574.714285714285,6723.633333333333,
2020-09-24,5719,6979.857142857143,6602.7,
2020-09-25,6801,7010.714285714285,6479.033333333334,
2020-09-26,4267,6394.0,6354.566666666667,
2020-09-27,10679,6729.714285714285,6579.733333333334,
2020-09-28,4923,5998.142857142857,6563.366666666667,
2020-09-29,7405,6800.571428571428,6528.066666666667,
2020-09-30,6263,6579.571428571428,6414.333333333333,
2020-10-01,5866,6600.571428571428,6366.8,
2020-10-02,6130,6504.714285714285,6294.166666666667,
2020-10-03,4029,6470.714285714285,6109.333333333333,
2020-10-04,12811,6775.285714285715,6293.766666666666,
2020-10-05,9696,7457.142857142857,6421.3,
2020-10-06,4290,7012.142857142857,6392.866666666667,
2020-10-07,3560,6626.0,6271.466666666666,
2020-10-08,3255,6253.0,6276.7,
2020-10-09,9896,6791.0,6420.833333333333,
2020-10-10,2506,6573.428571428572,6356.4,
2020-10-11,7217,5774.285714285715,6339.533333333334,
2020-10-12,3905,4947.0,6368.866666666667,
2020-10-13,4001,4905.714285714285,6186.0,
2020-10-14,8645,5632.142857142857,6194.1,
2020-10-15,8733,6414.714285714285,6365.866666666667,
2020-10-16,7371,6054.0,6466.366666666667,
2020-10-17,12501,7481.857142857143,6786.966666666666,
2020-10-18,12161,8188.142857142857,6972.833333333333,
2020-10-19,5610,8431.714285714286,6873.7,
2020-10-20,4564,8512.142857142857,6748.2,
2020-10-21,4822,7966.0,6574.133333333333,
2020-10-22,2041,7010.0,6582.566666666667,
2020-10-23,1968,6238.142857142857,6387.833333333333,
2020-10-24,10180,5906.571428571428,6536.533333333334,
2020-10-25,9857,5577.428571428572,6638.4,
2020-10-26,6055,5641.0,6698.0,
2020-10-27,1918,5263.0,6405.966666666666,
2020-10-28,5771,5398.571428571428,6434.233333333334,
2020-10-29,4502,5750.142857142857,6337.466666666666,
2020-10-30,6682,6423.571428571428,6351.433333333333,
2020-10-31,6712,5928.142857142857,6379.633333333333,
2020-11-01,8546,5740.857142857143,6460.166666666667,
2020-11-02,5474,5657.857142857143,6508.333333333333,
2020-11-03,2959,5806.571428571428,6179.933333333333,
2020-11-04,4895,5681.428571428572,6019.9,
2020-11-05,2304,5367.428571428572,5953.7,
2020-11-06,4422,5044.571428571428,5982.433333333333,
2020-11-07,9448,5435.428571428572,6188.866666666667,
2020-11-08,7272,5253.428571428572,6101.4,
2020-11-09,12184,6212.0,6424.0,
2020-11-10,6221,6678.0,6390.8,
2020-11-11,5922,6824.714285714285,6458.033333333334,
2020-11-12,1903,6767.428571428572,6388.1,
2020-11-13,10901,7693.0,6463.3,
2020-11-14,4974,7053.857142857143,6338.0,
2020-11-15,5049,6736.285714285715,6260.6,
2020-11-16,4302,5610.285714285715,5987.3,
2020-11-17,2093,5020.571428571428,5651.7,
2020-11-18,8651,5410.428571428572,5753.066666666667,
2020-11-19,2320,5470.0,5678.266666666666,
2020-11-20,6535,4846.285714285715,5735.366666666667,
2020-11-21,11312,5751.714285714285,6044.4,
2020-11-22,7830,6149.0,6239.8,
2020-11-23,3520,6037.285714285715,6017.8,
2020-11-24,11314,7354.571428571428,6066.366666666667,
2020-11-25,5501,6904.571428571428,6047.9,
2020-11-26,9593,7943.571428571428,6303.733333333334,
2020-11-27,2870,7420.0,6207.033333333334,
2020-11-28,7928,6936.571428571428,6321.233333333334,
2020-11-29,9553,7182.714285714285,6416.933333333333,
2020-11-30,4213,7281.714285714285,6333.633333333333,
2020-12-01,5186,6406.285714285715,6221.633333333333,
2020-12-02,9879,7031.714285714285,6368.466666666666,
2020-12-03,1970,5942.714285714285,6335.5,
2020-12-04,2868,5942.428571428572,6267.933333333333,
2020-12-05,896,4937.857142857143,6221.0,
2020-12-06,8253,4752.142857142857,6348.7,
2020-12-07,4749,4828.714285714285,6192.066666666667,
2020-12-08,7471,5155.142857142857,6198.7,
2020-12-09,6294,4643.0,6002.366666666667,
2020-12-10,7806,5476.714285714285,6055.2,
2020-12-11,3990,5637.0,5990.8,
2020-12-12,2449,5858.857142857143,6009.0,
